"SampleID","CompoundID","ec_dd","ec_th","ev_way","ev_notes","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","ec_dil1","ec_dil2","ec_ecnt1","ec_ecnt2","tc_ecnt1","tc_ecnt2","ec_blank","tc_blank","collectr","operator","sp_area","ec_dil3","ec_ecnt3","tc_ecnt3","dis_com","weight","lat_other","col_UID"
"SCB2043",2043,"5/13/2016","1/0/1900","058-43","",2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",2,4,998,15,998,999,0,0,"Gizela/Eloisa","Salma/J",0,6,0,80,,40.25,"","08_08_1079"
"SCB2044",2044,"5/23/2016","1/0/1900","090-29","",2016-05-23,"11:40:00",2016-05-23,"15:50:00",2016-05-24,"15:50:00",2,4,999,7,999,999,0,0,"Gizela/Eloisa","J/Mario Amos",0,6,0,999,,41.15,"","08_08_1080"
"SPA2029",2029,"5/19/2016","1/0/1900","073-43","",2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",2,4,998,999,998,999,0,0,"Eloisa/Gizela","Mario Amos/J",1,6,6,185,1,,"","08_08_1081"
"SPA2030",2030,"5/6/2016","1/0/1900","044-43","",2016-05-06,"12:40:00",2016-05-06,"17:05:00",2016-05-07,"17:05:00",2,4,998,23,998,999,0,0,"Gizela/Eloisa","J/Mario Amos",1,6,14,9,1,,"","08_08_1082"
"SPA2031",2031,"5/6/2016","1/0/1900","57-29","",2016-05-06,"12:40:00",2016-05-06,"17:05:00",2016-05-07,"17:05:00",2,4,998,999,998,999,0,0,"Sumeya/Anabela","J/Mario Amos",1,6,999,999,1,,"","08_08_1083"
"SPA2032",2032,"5/31/2016","1/0/1900","102-29","",2016-05-31,"14:50:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",2,4,999,68,999,999,0,0,"Sumeya / Anabela","J/Mario Amos",1,6,0,999,3,43.41,"","08_08_1084"
"SPA2035",2035,"5/12/2016","1/0/1900","70-29","",2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",2,4,998,33,998,999,0,0,"Sumeya/Anabela","Laurinda/J",1,6,1,999,1,56.11,"","08_08_1085"
"SPA2036",2036,"5/18/2016","1/0/1900","070-43","",2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",2,4,998,10,998,999,0,0,"Gizela/Eloisa","Salma/J",1,6,0,29,1,46.3,"","08_08_1086"
"SPA2037",2037,"5/19/2016","1/0/1900","88-29","",2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",2,4,21,0,999,999,0,0,"Sumeya/Anabela","Mario Amos/J",1,6,0,29,1,,"","08_08_1087"
"SPA2038",2038,"5/18/2016","1/0/1900","84-29","",2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",2,4,83,21,998,999,0,0,"Sumeya/Anabela","Salma/J",1,6,4,9,1,28.13,"","08_08_1088"
"SPA2039",2039,"5/31/2016","1/0/1900","098-29","",2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",2,4,999,9,999,999,0,0,"Eloisa/Gizela","Mario Amos/Laurinda",1,6,0,20,1,23.18,"","08_08_1089"
"SPA2040",2040,"5/24/2016","1/0/1900","96-29","",2016-05-24,"11:15:00",2016-05-24,"15:35:00",2016-05-25,"15:35:00",2,4,998,998,998,998,0,0,"Sumeya/Anabela","Laurinda / Mario Amos",1,6,4,999,1,39.23,"","08_08_1090"
"SPA2041",2041,"5/24/2016","1/0/1900","076-43","solo com pedrinhas",2016-05-24,"11:15:00",2016-05-24,"15:35:00",2016-05-25,"15:35:00",2,4,998,998,998,998,0,0,"Eloisa/Gizela","Laurinda/Mario Amos",1,6,8,999,1,23.62,"","08_08_1091"
"SPA2042",2042,"5/12/2016","1/0/1900","056-43","",2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",2,4,999,33,999,999,,,"Gizela/Eloisa","Laurinda/J",1,6,1,999,1,36,"","08_08_1092"
"SPA2043",2043,"5/13/2016","1/0/1900","059-43","",2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",2,4,998,999,998,999,0,0,"Gizela/Eloisa","Salma/J",1,6,999,999,1,23.94,"","08_08_1093"
"SPA2044",2044,"5/23/2016","1/0/1900","091-29","",2016-05-23,"11:40:00",2016-05-23,"15:50:00",2016-05-24,"15:50:00",2,4,999,5,999,999,0,0,"Anabela/Sumeya","J/Mario Amos",1,6,0,24,1,32.15,"","08_08_1094"
"SPA3001",3001,"5/5/2016","1/0/1900","041-43","Solo humido",2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",2,4,998,999,998,999,0,0,"Eloisa/Gizela","Laurinda/J",1,6,15,999,1,,"","08_08_1095"
