"h_id_val","h_gps_device","h_gps_device_id","h_gps_device_wp","h_gps_device_lat","h_gps_device_lon","h_s_additional_info","h_d_additional_info","h_f_additional_info","h_m_a_prim","h_m_a_prim_other","h_m_a_sec","h_m_a_sec_other","h_m_a_sec_num","h_m_a_sec_num_other","h_m_c_prim","h_m_c_prim_other","h_m_c_sec","h_m_c_sec_other","h_m_c_sec_num","h_m_c_sec_num_other","h_m_additional_info","h_t_additional_info","h_p_additional_info","h_latrine_type","h_latrine_type_other","h_th_additional_info","h_pd","h_pd_additional_info","meta.instanceID","X_parent_table_name","X_parent_index","h_id_old","h_f_weekly","h_UID"
"4017a",0,,,,,"","","Rainy season",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","","Cucumber long bean",4,,"",,"","uuid:e4243f45-b36d-4b0d-b9c3-cdd7dbbf9628",,-1,"4017a",0,"01_1262"
"4018a",0,,,,,"","Dong have open drain","Rainy season",3,"",2,"",3,"",2,"",2,"",3,"","","Boil","Cucumber morning glory latuce",4,,"",,"","uuid:f084e585-daa6-4e5b-bdb0-23da80363731",,-1,"4018a",0,"01_1263"
"4020a",0,,,,,"","","Rainy season",3,"",2,"",3,"",,"",,"",,"","Rain water","Boil","Cucumber long bean latuce",4,,"",,"","uuid:b4084808-8801-450a-9e3f-dac7fa051220",,-1,"4020a",0,"01_1264"
"4029a",0,,,,,"","","",3,"",2,"",4,"",3,"",2,"",3,"","Filter","","Morning glory , Cucumber",4,,"",,"","uuid:d5a2a591-b9fe-4df6-b13d-3d048bde29ef",,-1,"4029a",0,"01_1265"
"4030a",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","Raining well water boil","","Cucumber latuice",5,,"",,"","uuid:e4c9587f-6295-43f3-b701-db3e685c02d0",,-1,"4030a",0,"01_1266"
"4033a",0,,,,,"","","",3,"",2,"",3,"",,"",,"",,"","Filter","","Cucumber eggplant",4,,"",,"","uuid:2e97d2ce-b6b7-4732-ba09-4ad986ee12ce",,-1,"4033a",0,"01_1267"
"4035a",0,,,,,"","","Rainy season",2,"",3,"",3,"",2,"",3,"",3,"","Boil and small bottle water","Boil","Cucumber latuice",4,,"",,"","uuid:8fd86993-2d94-4e9d-8dc9-fe0b4738f2c0",,-1,"4035a",0,"01_1268"
"4037a",0,,,,,"","","",3,"",3,"",3,"",,"",,"",,"","Small bottle water","","Cucumber latuce",4,,"",,"","uuid:3ab8f8bd-38ed-48da-a0a1-2b1da534ba20",,-1,"4037a",0,"01_1269"
"4045a",0,,,,,"","","",2,"",2,"",3,"",,"",,"",,"","Rain water","","Cucumber morning glory latuice water Lyly",4,,"",,"","uuid:94d86f58-d8a8-471e-b0e2-f6dae34d69a3",,-1,"4045a",0,"01_1270"
"4046a",0,,,,,"","","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","","","Cucumber morning glory latuice",4,,"",,"","uuid:b4a1f626-8095-4b4b-a33b-6f811ba467ad",,-1,"4046a",0,"01_1271"
"4047a",0,,,,,"","","Rainy season",3,"",3,"",1,"",,"",,"",,"","","","Cucumber latuice morning glory water Lyly",4,,"",,"","uuid:2eb47fb9-ab07-46fb-b4a9-50ea1aade069",,-1,"4047a",0,"01_1272"
"4048a",0,,,,,"","","",3,"",3,"",1,"",,"",,"",,"","","","Cucumber morning glory latuice",4,,"",,"","uuid:07c023d0-f833-42fa-b7ff-c1f4367543eb",,-1,"4048a",0,"01_1273"
"4049a",0,,,,,"","","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","","","Cucumber morning glory latuice long been",4,,"",,"","uuid:4404e7d5-c326-445e-87af-f1c005c5ec00",,-1,"4049a",0,"01_1274"
"4050a",0,,,,,"","","",3,"",3,"",3,"",,"",,"",,"","Small bottle water","","Cucumber tomato latuce",4,,"",,"","uuid:b86df4dd-28b5-4aba-ab3f-25ef410aa067",,-1,"4050a",0,"01_1275"
