"h_sex","h_bw_source","h_bw_source_other","meta.instanceID","X_tags","X_notes","h_UID"
1,1,,"uuid:2f57367a-39df-4848-911c-c2d22cbcb928",,,"09_1267"
1,2,,"uuid:7fc8dfe2-69ad-4fc1-81a3-2f22eda5d970",,,"09_1268"
1,1,,"uuid:df459391-8703-42db-a12c-a575a44cd555",,,"09_1269"
1,1,,"uuid:ed9b45e3-930a-4b04-9e35-6c13e3dc375d",,,"09_1270"
1,1,,"uuid:3fee4ba3-6af7-48e6-9a1e-fe3f4266df41",,,"09_1271"
1,1,,"uuid:82753a23-cf10-4fcf-91b9-6665bc6d2327",,,"09_1272"
1,1,,"uuid:67f7a1e6-97c6-44c1-9ec3-452b890c632c",,,"09_1273"
1,1,,"uuid:4f360ed6-bc13-4460-99c9-7bac8cc66035",,,"09_1274"
1,2,,"uuid:79641c66-af30-4863-80e2-c36e094a3cff",,,"09_1275"
1,2,,"uuid:60d0fb42-ede5-4f9f-9ecd-4e398783652c",,,"09_1276"
1,1,,"uuid:ae42ef0e-fafa-4325-abba-b038f291b8c8",,,"09_1277"
1,2,,"uuid:65c0565f-c1ae-40e8-b1db-c77fb3e8b06d",,,"09_1278"
1,2,,"uuid:28cb3284-f71c-473f-bb5e-0535d36b0e7f",,,"09_1279"
1,1,,"uuid:cb7189d0-2719-49d7-b822-5920fa2f8d25",,,"09_1280"
2,1,,"uuid:4fb483f1-5d59-47a4-851e-26eda0d1d3b6",,,"09_1281"
1,2,,"uuid:52168b82-6631-496f-a954-749a51e20fdb",,,"09_1282"
1,1,,"uuid:4badd670-aef3-4a70-a7d6-619de61a1358",,,"09_1283"
1,2,,"uuid:0906ec69-d1c6-4d30-b975-8966162d3894",,,"09_1284"
1,2,,"uuid:9c64d6b2-86a7-4222-9d86-527084c0c876",,,"09_1285"
1,1,,"uuid:52a18ffc-bdb8-4290-829a-27b41c454a88",,,"09_1286"
1,1,,"uuid:1decb605-5f1e-4c91-a6f9-ca1d0251f823",,,"09_1287"
