"number","formid","form.hh_dd","form.neighbor","X_h_location_latitude","X_h_location_longitude","X_h_location_altitude","X_h_location_precision","form.hh_gps_device","form.hh_gps_id","form.hh_waypoint","form.hh_q17d","form.hh_q17d_other","form.hh_q18","username","caseid","case_name","h_f_weekly","h_UID"
521,"7b1af11e-322d-48ea-9fb1-780866d486ae","2016-06-09 12:56:00","Adabraka","5.564125637779765","-0.2133252939685099","32.14","8.0","Yes","SP1",41214,9,,"3","maggrey",,,0,"03_0521"
522,"67bc686d-1074-4c46-8005-20d02dfe14cd","2016-03-24 10:38:00","Shiabu","5.53430074","-0.257968","37.0","4.0","Yes","0318",318,7,,"3","test",,,0,"03_0522"
523,"6978be7f-2a14-4fb0-bad3-64dcf6411743","2016-03-23 12:07:00","Shiabu",,,,,"No",,,3,,"2 3","test",,,0,"03_0523"
524,"6f9f6d0a-d70c-4556-a508-63338da7478f","2016-06-08 11:27:00","Adabraka","5.5628685","-0.21144563","56.0","9.0","Yes","SP10",715,7,,"3","famponsah",,,0,"03_0524"
525,"81e0153d-7742-4bc4-b082-75394b119a78","2016-04-28 10:38:00","Chorkor","5.53118003","-0.24510704","38.0","3.0","Yes","SP2",6221,1,,"3","iselby",,,0,"03_0525"
526,"80371c4a-85ff-4af9-8631-b87c2aca37ac","2016-06-17 11:00:00","Adabraka","5.560705","-0.21531173","37.0","5.0","Yes","sp8",32226,7,,"2","famponsah",,,0,"03_0526"
527,"80994212-2d60-4728-81c3-11dcb8ac8ab6","2016-07-01 09:40:00","Ringway","5.56639064","-0.18639253","75.0","5.0","Yes","SP10",71306,7,,"2 3","famponsah",,,0,"03_0527"
528,"845abcf7-508e-4073-a6c5-3fec58f6fa62","2016-03-23 11:11:00","Shiabu","5.5310065","-0.2530107","0.0","1568.0","Yes","0515",515,7,,"3","test",,,0,"03_0528"
529,"7d7b16f0-6f67-4d0d-af23-a9cc983fe834","2016-06-10 12:29:00","Adabraka","5.564159414834719","-0.21109982567728675","52.89","4.0","Yes","sp8",32220,3,,"3","slaryea",,,0,"03_0529"
530,"8a6a4112-2870-4407-bfea-67ff7b0b192b","2016-04-26 11:11:00","Chorkor","5.52780634","-0.2470225","70.0","10.0","Yes","SP4",229,7,,"2","betty",,,0,"03_0530"
531,"8a22bd20-3488-4cd6-9a60-cdd79980385e","2016-03-21 12:46:00","Shiabu","5.526259821870136","-0.2569396748919274","8.11","32.0","No",,,1,,"3","test",,,0,"03_0531"
532,"87cd3e9c-72c8-4db8-8163-ea31ed5f8d03","2016-07-20 11:05:00","Kokomlemle","5.57759665","-0.21372776","60.0","7.0","Yes","SP4",41423,7,,"1","maggrey",,,0,"03_0532"
