"col_gps_device","col_gps_device_id","col_gps_device_wp","col_gps_device_lat","col_gps_device_lon","col_ws_group","col_ws_container","col_ws_container_lid","col_b_group","col_b_source","col_b_source_other","col_b_container","col_b_container_lid","col_ww_group","col_ww_source","col_ww_source_other","col_ww_container","col_ww_container_lid","col_i_group","col_i_container","col_i_container_lid","meta.instanceID","X_parent_table_name","X_parent_index","col_p_type_ch","col_UID"
0,,,,,,,,,3,"Rain",1,0,,,,,,,,,"uuid:6b4d6518-08e2-4b35-b47a-af5477b0b6bb",,-1,"","01_09_1113"
0,,,,,,,,,3,"Rain",1,0,,,,,,,,,"uuid:8f1dcf27-5c5c-4bb8-a721-eaa585396b49",,-1,"","01_09_1114"
0,,,,,,,,,3,"Rain",1,0,,,,,,,,,"uuid:2652f1bc-7f69-467e-a0d8-811f1d9e7a75",,-1,"","01_09_1115"
0,,,,,,,,,3,"Rain",1,0,,,,,,,,,"uuid:50d072d1-8e61-4f9e-a54e-c6fd6e1b1619",,-1,"","01_09_1116"
0,,,,,,,,,3,"Rain",1,0,,,,,,,,,"uuid:f31d3ea2-7278-49e6-af4e-80ffcf91cfe9",,-1,"","01_09_1117"
0,,,,,,,,,3,"Rain",1,0,,,,,,,,,"uuid:f01a3173-fee7-4979-92d0-e45ee62a8b48",,-1,"","01_09_1118"
0,,,,,,,,,3,"Rain",1,0,,,,,,,,,"uuid:b4be4c62-b919-48fb-9b6a-d2aaf68944fa",,-1,"","01_09_1119"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:fc4e7d75-caf6-42f6-9477-3aced93670b4",,-1,"","01_06_1120"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:5dcb7da5-6f35-4811-bc7b-92039eae9e98",,-1,"","01_06_1121"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:36d98ecf-a122-4e8f-91ca-bc27e83ab748",,-1,"","01_06_1122"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:e21a5c2a-b66a-4aa2-b6a6-2de8d060a8db",,-1,"","01_06_1123"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:3f6b3da8-d8ff-45cf-8fe3-0babe1b3e148",,-1,"","01_06_1124"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:8b44d73f-9107-4e78-86b2-affd10fb3476",,-1,"","01_06_1125"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:0e5930d3-ff6f-4c8f-b982-904b20d4cf6d",,-1,"","01_06_1126"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:db5d3581-3c53-4e3d-9ef6-60b2d3802f70",,-1,"","01_06_1127"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:87f00289-ceb0-47bf-bbb0-a1fcabbb5f3c",,-1,"","01_06_1128"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:f685dab1-8ed4-487b-8114-ca856df394ae",,-1,"","01_06_1129"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:05ea6a52-7572-4500-82a5-cd994ad8a740",,-1,"","01_06_1130"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:54538185-f0f4-403e-8341-97b317878a3a",,-1,"","01_06_1131"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:795f3e57-8bd3-4e56-9a4e-539b6999a751",,-1,"","01_06_1132"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:62bbce3d-a271-44ef-8459-129a7b5085d9",,-1,"","01_06_1133"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:c5f277ed-d179-4fc8-86fe-e3579e53358d",,-1,"","01_06_1134"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:5af02fc6-b313-4c06-b2ba-efb776d1bddb",,-1,"","01_06_1135"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:5254cc68-13cc-45d3-b9a9-ecd4cbc7df76",,-1,"","01_06_1136"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:66b4749b-8b66-4e75-9fa1-dc367f5bf604",,-1,"","01_06_1137"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:e74d9e0b-4b49-4186-a120-51a92458aa78",,-1,"","01_06_1138"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:53a9d5e4-bbb6-4ed2-83ef-319f951bb250",,-1,"","01_06_1139"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:3a7cbdae-ed32-4255-99e8-b9acd280c5c9",,-1,"","01_06_1140"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:2698c677-7f4c-4928-87a0-4a211a4cf3dd",,-1,"","01_06_1141"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:c24476b5-dd44-46c8-973a-370c2153b725",,-1,"","01_06_1142"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:80b0adef-724b-4b55-9a66-972f70b06a6c",,-1,"","01_06_1143"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:ed721839-5506-4bf2-978b-99c0b9c9225c",,-1,"","01_06_1144"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:186d95ab-14b5-4880-99a2-956fd1e81f07",,-1,"","01_06_1145"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:1f5c40b7-0c68-44c0-9939-08698bac6cb8",,-1,"","01_06_1146"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:465c4dcc-10d3-4e9b-85fd-910beaf5b849",,-1,"","01_06_1147"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:5707e69f-063d-4128-9b27-c4dd872cdf85",,-1,"","01_06_1148"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:ac30f548-306f-436e-8c78-069aed9007f8",,-1,"","01_06_1149"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:f8c01e46-7f02-4c78-bfbd-a29ae5c00d53",,-1,"","01_06_1150"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:6fe629a5-f1e0-4fbf-b344-48a75b809102",,-1,"","01_06_1151"
0,,,,,,,,,,"",,,,,,,,,,,"uuid:793e7e00-30da-4d4c-a905-ff45e312986f",,-1,"","01_06_1152"
