"h_dw_b.1","h_dw_b.2","h_dw_b.3","h_dw_b.4","h_dw_b.5","h_dw_b_other","h_dw_specific","h_dw_d.1","h_dw_d.2","h_dw_d.3","h_dw_d.4","h_dw_d.5","h_dw_d_other","h_dw_cspecific","meta.instanceID","X_tags","X_notes","h_UID"
"True","False","False","False","False",,"Dinpa water","True","False","False","False","False",,"Dinpa water","uuid:c252fe94-bdc7-41b6-9dc0-9b54be8d41c9",,,"07_1135"
"True","False","False","False","False",,"Zamzam","True","False","False","False","False",,"Zamzam","uuid:4535ccfc-8836-4998-a792-b5bd14a44408",,,"07_1136"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:5e53c161-f032-4d88-a0a7-0bcfe42406de",,,"07_1137"
"True","False","False","False","False",,"Sariki","True","False","False","False","False",,"Sariki","uuid:053dc6dd-0aa7-442e-be7d-cfc0b3f8ae43",,,"07_1138"
"True","False","False","False","False",,"Special, cool water","True","False","False","False","False",,"Special, cool","uuid:2c1c7174-8aac-41e3-b96a-3f1e53a0c455",,,"07_1139"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:d6fc935f-6b32-48fc-90e6-58293af75fef",,,"07_1140"
"True","False","False","False","False",,"Big osei","True","False","False","False","False",,"Big osei","uuid:70cca2b1-04ed-4384-9cce-623eb656ecce",,,"07_1141"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:b5384026-e662-4f02-b00e-d81213f7e7bf",,,"07_1142"
"True","False","False","False","False",,"Deep and cool","True","False","False","False","False",,"Deep and cool","uuid:f0147d2e-403b-4bba-b972-806729e7fc27",,,"07_1143"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:18389e7c-36e6-4493-aa12-914907d8788e",,,"07_1144"
"True","False","False","False","False",,"Abis mineral water","True","False","False","False","False",,"Abis mineral water","uuid:acbd9f88-181f-4935-b221-ebc6786f8de2",,,"07_1145"
"True","False","False","False","False",,"Cool deep","True","False","False","False","False",,"Cool ,deep","uuid:eb1d484f-b629-4c22-81ec-ac9f9378a6ca",,,"07_1146"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:2c3aa1f2-6236-47ba-8f5b-db1020833393",,,"07_1147"
"True","False","False","False","False",,"Big Osei drinking water ","True","False","False","False","False",,"Big Osei drinking water ","uuid:74f4eb95-d01e-4274-b23c-2e9b7f8fce0c",,,"07_1148"
"False","False","True","False","False",,,"False","False","True","False","False",,,"uuid:6cf7d899-5cd2-41ca-949c-1d88caece1e8",,,"07_1149"
"False","False","False","False","True",,,"False","False","False","False","True",,,"uuid:cadcd5c2-3f93-4fec-9ce6-c12bce30ca7a",,,"07_1150"
"True","False","False","False","False",,"Big Osei and start ice","True","False","False","False","False",,"Big Osei and start ice","uuid:06be3436-6b58-4d3e-b0ee-44678b7aa424",,,"07_1151"
"False","False","False","False","True",,,"False","False","False","False","True",,,"uuid:33344eb5-b2ae-4812-9bb5-a8f83201b67f",,,"07_1152"
"False","False","False","False","True",,,"False","False","False","False","True",,,"uuid:4adbff36-7b35-4ef6-960c-3d4f5138b644",,,"07_1153"
"False","False","False","False","True",,,"False","False","False","False","True",,,"uuid:dba4fed3-0887-4d44-b53c-05fc02406abe",,,"07_1154"
"False","False","True","False","False",,,"False","False","True","False","False",,,"uuid:81924118-1a2c-4948-b683-4de9da2250bb",,,"07_1155"
"False","False","True","False","False",,,"False","False","True","False","False",,,"uuid:73da134b-fcf3-4edc-a2d1-6cabecebf5dd",,,"07_1156"
"False","False","True","False","False",,,"False","False","True","False","False",,,"uuid:79e78845-f67d-4f46-b6a5-ecdb7ca4c286",,,"07_1157"
"False","False","True","False","False",,,"False","False","True","False","False",,,"uuid:3776254d-6646-43a0-a137-3f51a54c79e1",,,"07_1158"
