"sample_type_name","sample_id","neighb_id","neighborhood","age","pop","p","r","n.response","mu","sigma","n.sample","exposure","dose","popDose","deployment_id","country","city","citylabel","date","pathway","neighb_pop","neighb_pop_label","perDose"
"Street Food",10,207,"Shampur","Adults","a",0.0933693708959882,0.787387521193542,242,3.22499204509139,0.916335016014434,10,0.832,485566.146192971,485566.146192971,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Street Food","Dhaka 207 Adults","Dhaka 207",0.00124516939749836
"Street Food",10,207,"Shampur","Children","c",0.135753967637277,2.24583885714974,222,3.22499204509139,0.916335016014434,10,0.992,476718.521796387,476718.521796387,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Street Food","Dhaka 207 Children","Dhaka 207",0.000498732765763919
"Bathing Water",9,208,"Hazaribagh","Adults","a",0.75379536761378,35.2746116204708,235,2.26289389109976,1.23291221114087,10,1,19609.1994830844,19609.1994830844,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Bathing Water","Dhaka 208 Adults","Dhaka 208",0.00370347201549115
"Bathing Water",9,208,"Hazaribagh","Children","c",0.828074742888416,54.5361704677134,217,2.26289389109976,1.23291221114087,10,1,31403.9594739447,31403.9594739447,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Bathing Water","Dhaka 208 Children","Dhaka 208",0.00434037106704694
"Open Drain Water",1,208,"Hazaribagh","Adults","a",0.0103474238009455,0.350184415969207,238,7.45330176132318,0.449839959718722,10,0.801,1071329.77502096,1071329.77502096,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Open Drain Water","Dhaka 208 Adults","Dhaka 208",0.202335635606909
"Open Drain Water",1,208,"Hazaribagh","Children","c",0.00898983039265967,0.291003171170612,217,7.45330176132318,0.449839959718722,10,0.766,16290500.5564741,16290500.5564741,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Open Drain Water","Dhaka 208 Children","Dhaka 208",2.25152555497648
"Municipal Drinking Water",3,208,"Hazaribagh","Adults","a",0.00136977927407354,0.122126010328828,475,3.33794157737722,1.18666404339326,10,0.549,27964352.5067495,27964352.5067495,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Municipal Drinking Water","Dhaka 208 Adults","Dhaka 208",5.28145970616576
"Municipal Drinking Water",3,208,"Hazaribagh","Children","c",0.00114752497158094,0.118581643401609,435,3.33794157737722,1.18666404339326,10,0.525,3038685.20798296,3038685.20798296,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Municipal Drinking Water","Dhaka 208 Children","Dhaka 208",0.419979568803592
"Floodwater",6,208,"Hazaribagh","Adults","a",0.0315191858192267,0.403935775520196,471,6.62317131320861,0.972145132348823,9,0.73,1407520.79638093,1407520.79638093,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Floodwater","Dhaka 208 Adults","Dhaka 208",0.265830019482197
"Floodwater",6,208,"Hazaribagh","Children","c",0.0499172928562677,0.622321915523916,435,6.62317131320861,0.972145132348823,9,0.859,22148788.3509468,22148788.3509468,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Floodwater","Dhaka 208 Children","Dhaka 208",3.06120507537772
"Public Latrine",7,208,"Hazaribagh","Adults","a",0.00911476428424754,0.367518636334655,232,0.645263629737014,1.16382285547857,10,0.837,1982.15428525584,1982.15428525584,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Public Latrine","Dhaka 208 Adults","Dhaka 208",0.000374357603540285
"Public Latrine",7,208,"Hazaribagh","Children","c",0.0316552280087513,0.557562471991167,218,0.645263629737014,1.16382285547857,10,0.844,475.27045089292,475.27045089292,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Public Latrine","Dhaka 208 Children","Dhaka 208",6.56875804399599e-05
"Raw Produce",2,208,"Hazaribagh","Adults","a",0.118332877505397,0.894283082562632,233,2.73958538074082,1.28233594673341,9,0.84,535795.897759482,535795.897759482,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Raw Produce","Dhaka 208 Adults","Dhaka 208",0.10119256092422
"Raw Produce",2,208,"Hazaribagh","Children","c",0.117396654375987,0.695754076217515,219,2.73958538074082,1.28233594673341,9,0.778,1387914.36784327,1387914.36784327,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Raw Produce","Dhaka 208 Children","Dhaka 208",0.191824963050399
